group_id,equipment_process,equipment_maker,equipment_name,equipment_id,utility,size,path_count,unique_poc_count,avg_similarity,max_start_xy_dist,trunk_z,trunk_xy_spread,trunk_path_count,is_estimated,fan_in_z_min,fan_in_z_max,fan_out_z_min,fan_out_z_max,poc_ids
13,PHOTO,TEST,PSTWA03,3317d1fa-ec47-4d85-a5c5-7d23c64ebd02,OWW,25A,9,4,0.7541,3734.5,14750.0,4227.3,9,True,15452.0,15495.0,15452.0,15495.0,5cc843cd-6307-4f27-b414-f8bde9d4a15e|5cc843cd-6307-4f27-b414-f8bde9d4a15e|5cc843cd-6307-4f27-b414-f8bde9d4a15e|4e4342de-c21a-4cf4-becb-c3da9cfedc02|4e4342de-c21a-4cf4-becb-c3da9cfedc02|6dc0e809-5930-42e4-9e1a-930bbd3d895e|6dc0e809-5930-42e4-9e1a-930bbd3d895e|fa9210cb-349b-4e13-a393-bfca14ff1ae8|fa9210cb-349b-4e13-a393-bfca14ff1ae8
14,CMP,-,kscta01,66fe4277-5d3f-4982-b7ae-b72319263ba2,UPW_S,25A,8,3,0.7519,448.5,14750.0,2661.9,8,False,15495.0,15495.0,15495.0,15495.0,adb56770-9974-4a02-b8fb-318fd320d6b3|adb56770-9974-4a02-b8fb-318fd320d6b3|adb56770-9974-4a02-b8fb-318fd320d6b3|adb56770-9974-4a02-b8fb-318fd320d6b3|4c26c113-83ac-4c2f-b442-314e8ed191e1|4c26c113-83ac-4c2f-b442-314e8ed191e1|90f17d8b-c0f0-4b57-8320-c4b320f662da|90f17d8b-c0f0-4b57-8320-c4b320f662da
15,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,GN2,1/4B,8,6,0.6316,2665.0,15274.8,2665.0,8,True,-,-,-,-,776cbd6a-de4d-4f13-a073-90906b91b5c7|776cbd6a-de4d-4f13-a073-90906b91b5c7|f8d45263-20de-4375-b5db-26c7bcfef5dd|f8d45263-20de-4375-b5db-26c7bcfef5dd|8b0595c3-de30-41fb-8f6f-615e6d3d8999|b10cbff6-7197-4d7a-be0b-bbee9e733151|9d0d04ba-3f1f-46da-8727-e34af766fec7|18e258b9-a272-4429-9708-3ade1c5fb075
16,METAL,samsung,Comp_Pump_KAS_SDE30M20-LT_9??,0a0be602-d2a4-4363-b62c-cafa96019df6,-,100A,7,1,0.966,0.0,-,-,-,False,-,-,-,-,fc8fa181-0ec1-40c0-be17-59d8313d8991|fc8fa181-0ec1-40c0-be17-59d8313d8991|fc8fa181-0ec1-40c0-be17-59d8313d8991|fc8fa181-0ec1-40c0-be17-59d8313d8991|fc8fa181-0ec1-40c0-be17-59d8313d8991|fc8fa181-0ec1-40c0-be17-59d8313d8991|fc8fa181-0ec1-40c0-be17-59d8313d8991
17,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,ACID,150A,7,7,0.8743,3535.0,13398.3,5001.2,7,True,14639.3,15495.0,-,-,a2c2f48d-62ed-46c6-9825-9184f4792085|e993fe65-c1e0-4cd1-8346-67b6d7acda26|7606c182-c938-4fc3-ab17-9217ca6a4bea|880295f7-b5a7-435e-936b-0eac083ce23c|c1a3aa60-9bca-433f-a50b-e47f94858381|361439c4-2a39-4839-9edc-cfeaf690f379|04d6e216-2bbf-47a3-999b-c42060b60818
18,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,PA,1/4B,7,3,0.7507,1892.4,15136.7,3379.5,7,False,-,-,-,-,53dd8347-bdd0-4abb-8b92-743d3e454f43|53dd8347-bdd0-4abb-8b92-743d3e454f43|53dd8347-bdd0-4abb-8b92-743d3e454f43|2931fd16-4ae8-4998-a76f-b707b48575d7|2931fd16-4ae8-4998-a76f-b707b48575d7|4ae06fe3-1a4c-4bf2-98bd-6d8b232c7397|4ae06fe3-1a4c-4bf2-98bd-6d8b232c7397
19,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,NEU,50A,6,6,0.7718,4821.3,13486.1,1500.0,3,False,15000.3,15495.0,-,-,aced1caa-5363-4586-aefa-764b97df9794|fd834507-dba8-4b13-807d-e751ed336b91|7397a579-bc1e-4934-8ebb-c7516f6e4805|3efbdd19-a01f-4c3a-8f3b-aa9b8db8660d|a631c572-cdf1-4389-9423-1beb440e5637|76f257d0-98a0-492f-9061-9579014cbda6
20,CMP,-,kscta01,66fe4277-5d3f-4982-b7ae-b72319263ba2,ALKA,100A,6,6,0.7292,830.5,14830.0,4842.2,6,True,15495.0,15495.0,17000.0,17000.0,e0a5bb05-6d8f-4a23-a8ca-4dd3e6416c4f|4e98ce54-f730-4c74-9677-4c8f7ff0983d|c6aee6ca-0ca5-4a33-9947-5e3695a4bbb4|0d676e77-6fd0-4655-a5be-af20b82a082a|fc34cf28-cb57-4af2-86eb-2261a95407cc|3424271a-5b83-4860-b675-73a953de2d75
21,CMP,-,kscta01,66fe4277-5d3f-4982-b7ae-b72319263ba2,ALKA,65A,5,5,0.7818,3431.6,14820.0,6353.8,5,True,15352.5,15495.0,17000.0,17000.0,d914a43e-c878-496e-8030-48b48d17ee22|cae048f3-3e2e-41a2-b597-c764732ff12a|d3eacff7-de5d-4b98-b074-48eb53e8ee22|3c807e98-23e0-4b70-9781-c82465547c1a|48ddf0b3-11d9-434f-b587-5de75e8cde86
22,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,PN2,1/4B,5,5,0.7472,2808.1,13599.9,3721.0,5,False,14965.0,15495.0,12254.9,12339.7,99a28835-815e-4288-9565-c22f7a0a83c2|9fef0329-c045-4578-bd21-dbd63f9a4de1|d08af87d-80f0-459f-bc88-eb7d1ff85ef4|89e5d182-bf09-4db5-bfb6-72fa7f163c56|4232693d-b27d-4849-9090-488dc6728fca
